Altium Designer Pick and Place Locations
D:\myJob\Company\EL-TECH\006_Robot\Work\Mount\Array\Pick Place\Pick Place for robot.csv

========================================================================================================================
File Design Information:

Date:       16-10-23
Time:       08:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R56","24K","TopLayer","RES-1608","5.5000","-11.0000","0","Register"
"D26","RED","TopLayer","LED-1608R","70.5000","-12.5000","0","LED"
"D25","RED","TopLayer","LED-1608R","59.0000","-12.5000","0","LED"
"D24","RED","TopLayer","LED-1608R","47.5000","-12.5000","0","LED"
"D23","RED","TopLayer","LED-1608R","36.0000","-12.5000","0","LED"
"D22","RED","TopLayer","LED-1608R","24.5000","-12.5000","0","LED"
"D21","RED","TopLayer","LED-1608R","15.5000","-11.0000","0","LED"
"D20","RED","TopLayer","LED-1608R","8.5000","-11.0000","0","LED"
"CN6","37212-62M3-004 PL","TopLayer","37212-62M3-004_PL","-7.0000","-32.7500","90","EC-4SP4,IOLINK"
"CN5","37212-62M3-004 PL","TopLayer","37212-62M3-004_PL","-40.0000","-32.7500","90","EC-4SP4,IOLINK"
"CN4","37212-62M3-004 PL","TopLayer","37212-62M3-004_PL","-23.5000","-32.7500","90","EC-4SP4,IOLINK"
"CN3","37212-62M3-004 PL","TopLayer","37212-62M3-004_PL","-56.5000","-32.7500","90","EC-4SP4,IOLINK"
"J4","TBP03R2-350-10BE","TopLayer","CUI_TBP03R2-350-10BE","21.2500","-42.7500","0","Connector"
"CN11","37212-62M3-003 PL","TopLayer","37212-62M3-003PL","-101.0000","-32.7500","90","EC-3SP4, IOLINK"
"CN10","37212-62M3-003 PL","TopLayer","37212-62M3-003PL","-72.0000","-32.7500","90","EC-3SP4, IOLINK"
"CN9","37212-62M3-003 PL","TopLayer","37212-62M3-003PL","-115.5000","-32.7500","90","EC-3SP4, IOLINK"
"CN8","37212-62M3-003 PL","TopLayer","37212-62M3-003PL","-86.5000","-32.7500","90","EC-3SP4, IOLINK"
"Y4","25Mhz,SX-A32,Sunny","TopLayer","SX-A32","-71.0000","4.5000","90","Crystal Oscillator"
"U7","w5500","TopLayer","PQFP48_07X07P050","-82.5000","5.0000","270","WIZNET"
"R79","1M","TopLayer","RES-1005","-74.2500","5.0000","90","Resister"
"R78","0R","TopLayer","RES-1005","-68.2500","4.0000","270","Resister"
"R77","12.4K","TopLayer","RES-1005","-90.0000","1.0000","0","Resister"
"R76","10K","TopLayer","RES-1005","-84.2500","12.5000","270","Resister"
"R75","10K","TopLayer","RES-1005","-83.2500","12.5000","270","Resister"
"R74","10K","TopLayer","RES-1005","-82.2500","12.5000","270","Resister"
"R55","50R","TopLayer","RES-1005","-92.5000","2.5000","90","Resister"
"R54","50R","TopLayer","RES-1005","-92.5000","4.5000","270","Resister"
"R53","10K","TopLayer","RES-1005","-74.2500","9.7500","180","Resister"
"R52","10K","TopLayer","RES-1005","-74.2500","11.0000","180","Resister"
"R51","330R","TopLayer","RES-1005","-97.5000","9.0000","0","Resister"
"R50","330R","TopLayer","RES-1005","-97.5000","-1.5000","0","Resister"
"R49","10R","TopLayer","RES-1005","-97.5000","-0.2500","0","Resister"
"R48","50R","TopLayer","RES-1005","-92.5000","8.5000","90","Resister"
"R47","50R","TopLayer","RES-1005","-92.5000","6.5000","270","Resister"
"L2","MPZ2012S300A,2012,TDK","TopLayer","BEAD-2012","-91.0000","16.0000","0","Bead SMD"
"CN7","2301995-3","TopLayer","2301995-3","-108.8823","6.0950","270","Connector"
"C93","10NF","TopLayer","CAP-1005","-79.7500","-3.2500","90","Capacitor"
"C92","100NF","TopLayer","CAP-1005","-90.0000","2.0000","0","Capacitor"
"C91","10UF/6.3V","TopLayer","ECASE-A","-92.5000","12.5000","180","Capacitor"
"C90","100NF","TopLayer","CAP-1005","-82.2500","15.0000","270","Capacitor"
"C89","100NF","TopLayer","CAP-1005","-90.0000","0.0000","0","Capacitor"
"C88","100NF","TopLayer","CAP-1005","-80.7500","-3.2500","90","Capacitor"
"C87","100NF","TopLayer","CAP-1005","-84.2500","-3.2500","90","Capacitor"
"C86","100NF","TopLayer","CAP-1005","-83.2500","-3.2500","90","Capacitor"
"C85","100NF","TopLayer","CAP-1005","-74.2500","3.2500","180","Capacitor"
"C84","10UF/6.3V","TopLayer","ECASE-A","-76.2500","14.5000","0","Capacitor"
"C83","470NF","TopLayer","CAP-1005","-81.7500","-3.2500","90","Capacitor"
"C82","18PF","TopLayer","CAP-1005","-68.2500","1.7500","90","Capacitor"
"C81","18PF","TopLayer","CAP-1005","-71.0000","7.2500","180","Capacitor"
"C59","10UF","TopLayer","CAP-1005","-74.2500","12.2500","0","Capacitor"
"C46","10NF","TopLayer","CAP-1005","-92.5000","0.5000","90","Capacitor"
"C45","6.8NF","TopLayer","CAP-1005","-94.0000","4.0000","180","Capacitor"
"C44","6.8NF","TopLayer","CAP-1005","-94.0000","3.0000","180","Capacitor"
"C43","100NF","TopLayer","CAP-1005","-97.5000","1.0000","0","Capacitor"
"C42F","220NF","TopLayer","CAP-1608","19.0000","17.0000","270","Capacitor"
"C42E","220NF","TopLayer","CAP-1608","38.0000","17.0000","270","Capacitor"
"C42D","220NF","TopLayer","CAP-1608","57.0000","17.0000","270","Capacitor"
"C42C","220NF","TopLayer","CAP-1608","76.0000","17.0000","270","Capacitor"
"C42B","220NF","TopLayer","CAP-1608","95.0000","17.0000","270","Capacitor"
"C42A","220NF","TopLayer","CAP-1608","114.0000","17.0000","270","Capacitor"
"C41","220UF/16V","TopLayer","ECASE-D","-49.0000","21.0000","90","Capacitor"
"C40","220UF/16V","TopLayer","ECASE-D","-54.5000","21.0000","90","Capacitor"
"C39","47UF/35V","TopLayer","ECASE-D","-74.0000","28.0000","270","Capacitor"
"C38","47UF/35V","TopLayer","ECASE-D","-80.5000","28.0000","270","Capacitor"
"C37","47UF/35V","TopLayer","ECASE-D","-87.0000","28.0000","270","Capacitor"
"C34","47UF/35V","TopLayer","ECASE-D","-70.5000","42.0000","90","Capacitor"
"C33","47UF/35V","TopLayer","ECASE-D","-75.5000","42.0000","90","Capacitor"
"C32","47UF/35V","TopLayer","ECASE-D","-80.5000","42.0000","90","Capacitor"
"RLY7","RELAY_HR91C_24V","TopLayer","HR91C","69.0001","-27.0201","270","Relay"
"RLY6","RELAY_HR91C_24V","TopLayer","HR91C","57.5001","-27.0201","270","Relay"
"D19","SS14","TopLayer","SMA","-94.5000","20.0000","270","DIode"
"U2","ULN2001","TopLayer","SOIC-16","22.4999","-2.4983","180","Seven Darlington Arrays"
"Y1","16Mhz","TopLayer","CRYSTAL_ABM3-XX","65.0000","0.7500","270","Crystal ABM3-2PIN"
"R30","1.25K(NC)","TopLayer","RES-1608","-55.0000","27.0000","0","Register"
"R29","0R","TopLayer","RES-1608","-55.0000","28.5000","0","Register"
"R21","10K","TopLayer","RES-1608","-119.0000","26.0000","90","Register"
"Q1","LM2596-5.0/NOPB","TopLayer","TO-263-5L","-62.2982","36.1038","0","Regulator"
"PF1","microSMD010F","TopLayer","RES-3225","-93.0000","35.0000","0","Register"
"L1","SRR1260-330M","TopLayer","SRR1260-330M","-64.0000","23.0000","270","Indcutor"
"J24","TBP03R2-350-04BE","TopLayer","CUI_TBP03R2-350-04BE","-115.0000","36.7500","270","Connector"
"D9","SS34","TopLayer","SMC","-104.0000","32.5000","180","DIode"
"D8","SS34","TopLayer","SMC","-104.0000","39.5000","180","DIode"
"D7","GREEN","TopLayer","LED-1608G","-121.0000","26.0000","90","LED"
"D6","SS34","TopLayer","SMC","-76.0000","19.7500","180","DIode"
"C27","47UF/35V","TopLayer","ECASE-D","-85.5000","42.0000","90","Capacitor"
"C26","47UF/35V","TopLayer","ECASE-D","-90.5000","42.0000","90","Capacitor"
"C25","47UF/35V","TopLayer","ECASE-D","-95.5000","42.0000","90","Capacitor"
"C24","220UF/16V","TopLayer","ECASE-D","-64.5000","12.5000","180","Capacitor"
"C23","100NF","TopLayer","CAP-1608","-86.0000","35.0000","0","Capacitor"
"C22","47UF/35V","TopLayer","ECASE-D","-93.5000","28.0000","270","Capacitor"
"C21","100NF","TopLayer","CAP-1608","-57.0000","14.5000","180","Capacitor"
"C20","100NF","TopLayer","CAP-1608","-53.0000","14.5000","180","Capacitor"
"U6H","HX720,AVIAIC","TopLayer","SOIC-8","-9.0000","-7.0000","90","IC"
"U6G","HX720,AVIAIC","TopLayer","SOIC-8","-9.0000","7.0000","90","IC"
"U6F","HX720,AVIAIC","TopLayer","SOIC-8","-25.5000","-7.0000","90","IC"
"U6E","HX720,AVIAIC","TopLayer","SOIC-8","-25.5000","7.0000","90","IC"
"U6D","HX720,AVIAIC","TopLayer","SOIC-8","-42.0000","-7.0000","90","IC"
"U6C","HX720,AVIAIC","TopLayer","SOIC-8","-42.0000","7.0000","90","IC"
"U6B","HX720,AVIAIC","TopLayer","SOIC-8","-58.5000","-7.0000","90","IC"
"U6A","HX720,AVIAIC","TopLayer","SOIC-8","-58.5000","7.0000","90","IC"
"U5B","TLP291-4","TopLayer","TLP281-4","-72.0000","-11.5000","180","IC"
"U5A","TLP291-4","TopLayer","TLP281-4","-86.5000","-11.5000","180","IC"
"U4","CH340C","TopLayer","SOIC-16","-103.0017","23.4999","270","IC"
"U3","atmegA2560","TopLayer","PQFP100_14X14P050","48.0000","3.0000","0","IC"
"U1F","A4988","TopLayer","QFN28_05X05P050","17.0000","23.0000","270","DMOS Microstepping Driver with Translator  and Overcurrent Protection"
"U1E","A4988","TopLayer","QFN28_05X05P050","36.0000","23.0000","270","DMOS Microstepping Driver with Translator  and Overcurrent Protection"
"U1D","A4988","TopLayer","QFN28_05X05P050","55.0000","23.0000","270","DMOS Microstepping Driver with Translator  and Overcurrent Protection"
"U1C","A4988","TopLayer","QFN28_05X05P050","74.0000","23.0000","270","DMOS Microstepping Driver with Translator  and Overcurrent Protection"
"U1B","A4988","TopLayer","QFN28_05X05P050","93.0000","23.0000","270","DMOS Microstepping Driver with Translator  and Overcurrent Protection"
"U1A","A4988","TopLayer","QFN28_05X05P050","112.0000","23.0000","270","DMOS Microstepping Driver with Translator  and Overcurrent Protection"
"TP4","TestPoint","TopLayer","TP","-97.5000","19.0548","0",""
"TP3","TestPoint","TopLayer","TP","-97.5000","27.0000","0",""
"TP2","TestPoint","TopLayer","TP","-90.0000","20.5000","0",""
"TP1","TestPoint","TopLayer","TP","-90.0000","19.0000","0",""
"RLY2","PA1A-24V","TopLayer","RELAY_PA","14.5000","-26.1900","270","Relay"
"RLY1","PA1A-24V","TopLayer","RELAY_PA","7.5000","-26.1900","270","Relay"
"R26H","200R","TopLayer","RES-1608","-1.7500","-5.0000","180","Register"
"R26G","200R","TopLayer","RES-1608","-1.7500","9.0000","180","Register"
"R26F","200R","TopLayer","RES-1608","-18.2500","-5.0000","180","Register"
"R26E","200R","TopLayer","RES-1608","-18.2500","9.0000","180","Register"
"R26D","200R","TopLayer","RES-1608","-34.7500","-5.0000","180","Register"
"R26C","200R","TopLayer","RES-1608","-34.7500","9.0000","180","Register"
"R26B","200R","TopLayer","RES-1608","-51.2500","-5.0000","180","Register"
"R26A","200R","TopLayer","RES-1608","-51.2500","9.0000","180","Register"
"R25H","200R","TopLayer","RES-1608","-1.7500","-6.5000","180","Register"
"R25G","200R","TopLayer","RES-1608","-1.7500","7.5000","180","Register"
"R25F","200R","TopLayer","RES-1608","-18.2500","-6.5000","180","Register"
"R25E","200R","TopLayer","RES-1608","-18.2500","7.5000","180","Register"
"R25D","200R","TopLayer","RES-1608","-34.7500","-6.5000","180","Register"
"R25C","200R","TopLayer","RES-1608","-34.7500","7.5000","180","Register"
"R25B","200R","TopLayer","RES-1608","-51.2500","-6.5000","180","Register"
"R25A","200R","TopLayer","RES-1608","-51.2500","7.5000","180","Register"
"R23","47K","TopLayer","RES-1608","62.5000","-3.5000","180","Register"
"R22","10K","TopLayer","RES-1608","59.5000","-2.0000","0","Register"
"R20","330R","TopLayer","RES-1608","-55.0000","30.0000","0","Register"
"R18","27R","TopLayer","RES-1608","-87.5000","20.5000","0","Register"
"R17","27R","TopLayer","RES-1608","-87.5000","19.0000","0","Register"
"R16B","47K","TopLayer","RES-1608","-26.5000","18.5000","90","Register"
"R16A","47K","TopLayer","RES-1608","-40.5000","18.5000","90","Register"
"R15B","47K","TopLayer","RES-1608","-25.0000","18.5000","90","Register"
"R15A","47K","TopLayer","RES-1608","-39.0000","18.5000","90","Register"
"R14B","47K","TopLayer","RES-1608","-23.5000","18.5000","90","Register"
"R14A","47K","TopLayer","RES-1608","-37.5000","18.5000","90","Register"
"R13B","47K","TopLayer","RES-1608","-22.0000","18.5000","90","Register"
"R13A","47K","TopLayer","RES-1608","-36.0000","18.5000","90","Register"
"R12B","4.7K","TopLayer","RES-1608","-65.0000","-16.5000","0","Register"
"R12A","4.7K","TopLayer","RES-1608","-79.5000","-16.5000","0","Register"
"R11B","4.7K","TopLayer","RES-1608","-65.0000","-13.5000","0","Register"
"R11A","4.7K","TopLayer","RES-1608","-79.5000","-13.5000","0","Register"
"R10B","4.7K","TopLayer","RES-1608","-65.0000","-10.5000","0","Register"
"R10A","4.7K","TopLayer","RES-1608","-79.5000","-10.5000","0","Register"
"R9B","4.7K","TopLayer","RES-1608","-65.0000","-7.5000","0","Register"
"R9A","4.7K","TopLayer","RES-1608","-79.5000","-7.5000","0","Register"
"R7F","0.05R","TopLayer","RES-3216","14.0000","30.0000","90","Register"
"R7E","0.05R","TopLayer","RES-3216","33.0000","30.0000","90","Register"
"R7D","0.05R","TopLayer","RES-3216","52.0000","30.2500","90","Register"
"R7C","0.05R","TopLayer","RES-3216","71.0000","30.2500","90","Register"
"R7B","0.05R","TopLayer","RES-3216","90.0000","30.2500","90","Register"
"R7A","0.05R","TopLayer","RES-3216","109.0000","30.2500","90","Register"
"R6F","20K","TopLayer","RES-1608","22.0000","21.5000","90","Register"
"R6E","20K","TopLayer","RES-1608","41.0000","21.5000","90","Register"
"R6D","20K","TopLayer","RES-1608","60.0000","21.5000","90","Register"
"R6C","20K","TopLayer","RES-1608","79.0000","21.5000","90","Register"
"R6B","20K","TopLayer","RES-1608","98.0000","21.5000","90","Register"
"R6A","20K","TopLayer","RES-1608","117.0000","21.5000","90","Register"
"R5F","0.05R","TopLayer","RES-3216","20.0000","30.0000","90","Register"
"R5E","0.05R","TopLayer","RES-3216","39.0000","30.0000","90","Register"
"R5D","0.05R","TopLayer","RES-3216","58.0000","30.2500","90","Register"
"R5C","0.05R","TopLayer","RES-3216","77.0000","30.2500","90","Register"
"R5B","0.05R","TopLayer","RES-3216","96.0000","30.2500","90","Register"
"R5A","0.05R","TopLayer","RES-3216","115.0000","30.2500","90","Register"
"R4F","100K","TopLayer","RES-1608","11.0000","25.0000","180","Register"
"R4E","100K","TopLayer","RES-1608","30.0000","25.0000","180","Register"
"R4D","100K","TopLayer","RES-1608","49.0000","25.0000","180","Register"
"R4C","100K","TopLayer","RES-1608","68.0000","25.0000","180","Register"
"R4B","100K","TopLayer","RES-1608","87.0000","25.0000","180","Register"
"R4A","100K","TopLayer","RES-1608","106.0000","25.0000","180","Register"
"R3F","10K","TopLayer","RES-1608","22.0000","17.0000","90","Register"
"R3E","10K","TopLayer","RES-1608","41.0000","17.0000","90","Register"
"R3D","10K","TopLayer","RES-1608","60.0000","17.0000","90","Register"
"R3C","10K","TopLayer","RES-1608","79.0000","17.0000","90","Register"
"R3B","10K","TopLayer","RES-1608","98.0000","17.0000","90","Register"
"R3A","10K","TopLayer","RES-1608","117.0000","17.0000","90","Register"
"R2F","10K","TopLayer","RES-1608","17.5000","17.0000","90","Register"
"R2E","10K","TopLayer","RES-1608","36.5000","17.0000","90","Register"
"R2D","10K","TopLayer","RES-1608","55.5000","17.0000","90","Register"
"R2C","10K","TopLayer","RES-1608","74.5000","17.0000","90","Register"
"R2B","10K","TopLayer","RES-1608","93.5000","17.0000","90","Register"
"R2A","10K","TopLayer","RES-1608","112.5000","17.0000","90","Register"
"R1F","10K(NC)","TopLayer","RES-1608","20.5000","17.0000","90","Register"
"R1E","10K(NC)","TopLayer","RES-1608","39.5000","17.0000","90","Register"
"R1D","10K(NC)","TopLayer","RES-1608","58.5000","17.0000","90","Register"
"R1C","10K(NC)","TopLayer","RES-1608","77.5000","17.0000","90","Register"
"R1B","10K(NC)","TopLayer","RES-1608","96.5000","17.0000","90","Register"
"R1A","10K(NC)","TopLayer","RES-1608","115.5000","17.0000","90","Register"
"D16","SS14","TopLayer","SMA","69.0000","-15.0000","0","DIode"
"D15","SS14","TopLayer","SMA","57.5000","-15.0000","0","DIode"
"D14","SS14","TopLayer","SMA","46.0000","-15.0000","0","DIode"
"D13","SS14","TopLayer","SMA","34.5000","-15.0000","0","DIode"
"D12","SS14","TopLayer","SMA","23.0000","-15.0000","0","DIode"
"D11","SS14","TopLayer","SMA","14.0000","-13.5000","0","DIode"
"D10","SS14","TopLayer","SMA","7.0000","-13.5000","0","DIode"
"D5","GREEN","TopLayer","LED-1608G","-55.0000","31.5000","0","LED"
"D4B","RED","TopLayer","LED-1608R","-65.0000","-6.0000","0","LED"
"D4A","RED","TopLayer","LED-1608R","-79.5000","-6.0000","0","LED"
"D3B","RED","TopLayer","LED-1608R","-65.0000","-9.0000","0","LED"
"D3A","RED","TopLayer","LED-1608R","-79.5000","-9.0000","0","LED"
"D2B","RED","TopLayer","LED-1608R","-65.0000","-12.0000","0","LED"
"D2A","RED","TopLayer","LED-1608R","-79.5000","-12.0000","0","LED"
"D1B","RED","TopLayer","LED-1608R","-65.0000","-15.0000","0","LED"
"D1A","RED","TopLayer","LED-1608R","-79.5000","-15.0000","0","LED"
"CN2","Pin Header 2.54 6 x 2 ROW(NC)","TopLayer","JP-6PR","83.0000","3.0000","270","Header"
"C18H","100NF","TopLayer","CAP-1608","-4.0000","-5.7500","270","Capacitor"
"C18G","100NF","TopLayer","CAP-1608","-4.0000","8.2500","270","Capacitor"
"C18F","100NF","TopLayer","CAP-1608","-20.5000","-5.7500","270","Capacitor"
"C18E","100NF","TopLayer","CAP-1608","-20.5000","8.2500","270","Capacitor"
"C18D","100NF","TopLayer","CAP-1608","-37.0000","-5.7500","270","Capacitor"
"C18C","100NF","TopLayer","CAP-1608","-37.0000","8.2500","270","Capacitor"
"C18B","100NF","TopLayer","CAP-1608","-53.5000","-5.7500","270","Capacitor"
"C18A","100NF","TopLayer","CAP-1608","-53.5000","8.2500","270","Capacitor"
"C15","1NF/2000V","TopLayer","CAP-3216","-115.0000","15.7500","0","Capacitor"
"C14","100UF/6.3V","TopLayer","ECASE-C","-110.0000","22.0000","90","Capacitor"
"C13","100nF","TopLayer","CAP-1608","-110.0000","27.5000","180","Capacitor"
"C12","100NF","TopLayer","CAP-1608","59.5000","-3.5000","0","Capacitor"
"C11","100NF","TopLayer","CAP-1608","36.0000","-5.5000","270","Capacitor"
"C10","100NF","TopLayer","CAP-1608","36.0000","7.0000","180","Capacitor"
"C9","100NF","TopLayer","CAP-1608","49.0000","14.5000","90","Capacitor"
"C8","100NF","TopLayer","CAP-1608","59.5000","-0.5000","0","Capacitor"
"C7","100NF","TopLayer","CAP-1608","46.7500","-8.0000","0","Capacitor"
"C6","100NF","TopLayer","CAP-1608","38.0000","-5.5000","270","Capacitor"
"C5F","220NF","TopLayer","CAP-1608","11.0000","20.0000","180","Capacitor"
"C5E","220NF","TopLayer","CAP-1608","30.0000","20.0000","180","Capacitor"
"C5D","220NF","TopLayer","CAP-1608","49.0000","20.0000","180","Capacitor"
"C5C","220NF","TopLayer","CAP-1608","68.0000","20.0000","180","Capacitor"
"C5B","220NF","TopLayer","CAP-1608","87.0000","20.0000","180","Capacitor"
"C5A","220NF","TopLayer","CAP-1608","106.0000","20.0000","180","Capacitor"
"C4F","100NF","TopLayer","CAP-1608","11.0000","21.5000","180","Capacitor"
"C4E","100NF","TopLayer","CAP-1608","30.0000","21.5000","180","Capacitor"
"C4D","100NF","TopLayer","CAP-1608","49.0000","21.5000","180","Capacitor"
"C4C","100NF","TopLayer","CAP-1608","68.0000","21.5000","180","Capacitor"
"C4B","100NF","TopLayer","CAP-1608","87.0000","21.5000","180","Capacitor"
"C4A","100NF","TopLayer","CAP-1608","106.0000","21.5000","180","Capacitor"
"C3F","100NF","TopLayer","CAP-1608","10.0000","28.0000","270","Capacitor"
"C3E","100NF","TopLayer","CAP-1608","29.0000","28.0000","270","Capacitor"
"C3D","100NF","TopLayer","CAP-1608","48.0000","28.0000","270","Capacitor"
"C3C","100NF","TopLayer","CAP-1608","67.0000","28.0000","270","Capacitor"
"C3B","100NF","TopLayer","CAP-1608","86.0000","28.0000","270","Capacitor"
"C3A","100NF","TopLayer","CAP-1608","105.0000","28.0000","270","Capacitor"
"C2F","100NF","TopLayer","CAP-1608","11.0000","23.5000","180","Capacitor"
"C2E","100NF","TopLayer","CAP-1608","30.0000","23.5000","180","Capacitor"
"C2D","100NF","TopLayer","CAP-1608","49.0000","23.5000","180","Capacitor"
"C2C","100NF","TopLayer","CAP-1608","68.0000","23.5000","180","Capacitor"
"C2B","100NF","TopLayer","CAP-1608","87.0000","23.5000","180","Capacitor"
"C2A","100NF","TopLayer","CAP-1608","106.0000","23.5000","180","Capacitor"
"C1F","47UF/35V","TopLayer","ECASE-D","6.5000","24.0000","270","Capacitor"
"C1E","47UF/35V","TopLayer","ECASE-D","25.5000","24.0000","270","Capacitor"
